matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
orthography_3_7_1_4_5,orthography,3.7.1.4.5,Наличие уточняющих наречий,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Слитное написание «не»"", ""Написание с некоторыми существительными, прилагательными, наречиями на «-о»""]",5,https://orfogrammka.ru/орфография/наличие_уточняющих_наречий/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_1_5,orthography,3.7.1.5,Слитное написание с полными формами причастий,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Слитное написание «не»""]",4,https://orfogrammka.ru/орфография/слитное_написание_с_полными_формами_причастий/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisaniya_s_otritsaniem_ne_razdelnoe_napisanie_ne,orthography,,Раздельное написание «не»,group,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»""]",3,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_3_7_2_1,orthography,3.7.2.1,Написание со всеми формами глаголов (кроме полных причастий),leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/написание_со_всеми_формами_глаголов_кроме_полных_причастий/,model_required,true,"[""ne_verb""]","[""model"", ""morphology"", ""syntax""]",true,eligible_but_needs_threshold
orthography_3_7_2_2,orthography,3.7.2.2,Написание с числительными и счётными существительными,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/написание_с_числительными_и_счётными_существительными/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_3,orthography,3.7.2.3,Написание с местоименными словами,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/написание_с_местоименными_словами/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_4,orthography,3.7.2.4,Написание со всегда краткими прилагательными,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/написание_со_всегда_краткими_прилагательными/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_5,orthography,3.7.2.5,Написание с наречиями и неизменяемыми словами в роли сказуемого,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/написание_с_наречиями_и_неизменяемыми_словами_в_роли_сказуемого/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_6,orthography,3.7.2.6,"Написание с любыми словами, пишущимися через дефис",leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/написание_с_любыми_словами_пишущимися_через_дефис/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
orthography_3_7_2_8,orthography,3.7.2.8,Конструкции с противопоставлением,leaf_rule,"[""Правила слитного, дефисного и раздельного написания"", ""Написания с отрицанием «не»"", ""Раздельное написание «не»""]",4,https://orfogrammka.ru/орфография/конструкции_с_противопоставлением/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
