row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
67,test,33,5,63.80599999829428,61.0750999985612,56.20700000145007,0.29790000553475693,0.001400003384333104,0.8614000034867786,0.265199996647425,1.0756999981822446,0.5211000025155954,7,1,1,5,missing_letter_candidate|subject_predicate_dash,dictionary
68,test,40,7,9.602799997082911,6.055199999536853,0.4030999989481643,0.26529999740887433,0.0014999968698248267,1.2349999960861169,0.3519999954733066,1.3008999958401546,0.6532999977935106,10,2,0,7,dictionary_fuzzy|frequent_error_exact,diff_alignment
69,test,52,7,76.13229999697069,72.67750000028173,67.17180000123335,0.33489999623270705,0.0012000018614344299,1.1675999994622543,0.26559999969322234,1.3102000011713244,0.7045000020298176,9,1,1,7,final_punctuation_default|missing_letter_candidate,dictionary
70,test,56,9,43.10110000369605,38.722600002074614,33.22999997908482,0.3896999987773597,0.001400003384333104,1.3927000036346726,0.37929999962216243,1.7433999964850955,0.855400001455564,13,2,2,9,comma_subordinate|final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate,dictionary
71,test,43,7,57.18929999420652,53.79190000530798,48.64179998548934,0.3152999997837469,0.0013000026228837669,1.139200001489371,0.26030000299215317,1.3035000010859221,0.6840999994892627,9,2,0,7,dictionary_fuzzy|missing_letter_candidate,dictionary
72,test,39,8,12.749200002872385,9.167199998046272,4.004800000984687,0.3530999965732917,0.0014999968698248267,1.1966000020038337,0.3547000014805235,1.3363999969442375,0.6873000020277686,10,1,1,8,final_punctuation_default|swapped_letters_candidate,dictionary
73,test,59,9,24.6666999955778,20.42559999972582,10.861600007046945,0.359499994374346,0.0013999961083754897,1.4450999951804988,0.3063000040128827,1.5694999965489842,0.912799994694069,12,1,1,9,capitalization_sentence_start|final_punctuation_default|missing_letter_candidate,dictionary
74,test,73,14,21.808599994983524,15.22349999868311,8.68070000433363,0.6941000028746203,0.0012000018614344299,2.71499999507796,0.3010000000358559,2.0183000015094876,1.5438999980688095,16,2,0,14,extra_letter_candidate|missing_letter_candidate,dictionary
75,test,45,7,92.37530000245897,88.40509999572532,83.52860000741202,0.38700000004610047,0.0010000003385357559,1.5610000045853667,0.2680999969015829,1.315599998633843,0.8188000065274537,9,2,0,7,dictionary_fuzzy,dictionary
76,test,47,6,67.6244000060251,63.999199999670964,57.959500001743436,0.33940000139409676,0.0012000018614344299,1.2859999987995252,0.3192000003764406,1.1832999953185208,0.8297999956994317,8,1,0,6,capitalization_sentence_start|missing_letter_candidate,dictionary
77,test,51,9,43.844400002853945,39.29449999850476,33.475399992312305,0.41849999979604036,0.0012000018614344299,1.6766999979154207,0.280100000964012,1.6201999969780445,0.9652999942773022,12,2,0,9,capitalization_sentence_start|double_consonant_candidate|keyboard_typo_candidate,dictionary
78,test,41,6,69.32429999869782,65.94410000252537,62.089999999443535,0.34920000325655565,0.0014999968698248267,1.240400000824593,0.2682999984244816,1.1446000062278472,0.7202000051620416,7,1,0,6,missing_letter_candidate,dictionary
